College or Institution Type,Campus,Campus Website,Address,City,State,Zip,Latitude,Longitude,Georeference
Community Colleges,Borough of Manhattan Community College,https://www.bmcc.cuny.edu/,199 Chambers Street,New York,NY,10007-1044,40.717367,-74.012178,POINT (-74.012178 40.717367)
Community Colleges,Bronx Community College,https://www.bcc.cuny.edu/,2155 University Avenue,Bronx,NY,10453-2804,40.856673,-73.910127,POINT (-73.910127 40.856673)
Community Colleges,Hostos Community College,http://hostos.cuny.edu,500 Grand Concourse,Bronx,NY,10451-5323,40.817828,-73.926862,POINT (-73.926862 40.817828)
Community Colleges,Kingsborough Community College,http://kbcc.cuny.edu,2001 Oriental Boulevard,Brooklyn,NY,11235-2333,40.578349,-73.934465,POINT (-73.934465 40.578349)
Community Colleges,LaGuardia Community College,https://www.laguardia.edu/,31-10 Thomson Avenue,Long Island City,NY,11101-3007,40.743951,-73.935154,POINT (-73.935154 40.743951)
Community Colleges,Queensborough Community College,https://www.qcc.cuny.edu/,222-05 56th Avenue,Bayside,NY,11364-1497,40.75615,-73.75755,POINT (-73.75755 40.75615)
Community Colleges,Guttman Community College,https://guttman.cuny.edu/,50 West 40th Street,New York,NY,10018-2602,40.752846,-73.984133,POINT (-73.984133 40.752846)
Comprehensive Colleges,Medgar Evers College,http://mec.cuny.edu,1650 Bedford Avenue,Brooklyn,NY,11225-2010,40.66624,-73.957349,POINT (-73.957349 40.66624)
Comprehensive Colleges,New York City College of Technology,https://www.citytech.cuny.edu/,300 Jay Street,Brooklyn,NY,11201-1909,40.695507,-73.987882,POINT (-73.987882 40.695507)
Comprehensive Colleges,College of Staten Island,http://csi.cuny.edu,2800 Victory Boulevard,Staten Island,NY,10314-6609,40.608648,-74.153563,POINT (-74.153563 40.608648)
Graduate Colleges,School of Labor and Urban Studies,https://slu.cuny.edu/,"25 West 43rd Street, 19th Floor",New York,NY,10036-7410,40.75541,-73.98184,POINT (-73.98184 40.75541)
Graduate Colleges,School of Law,http://law.cuny.edu,2 Court Square,Long Island City,NY,11101-4356,40.747639,-73.943676,POINT (-73.943676 40.747639)
Graduate Colleges,The Graduate School and University Center,http://gc.cuny.edu,365 5th Avenue,New York,NY,10016-4309,40.748724,-73.984205,POINT (-73.984205 40.748724)
Graduate Colleges,School of Professional Studies,https://sps.cuny.edu/,119 West 31st Street,New York,NY,10001-3400,40.748151,-73.989723,POINT (-73.989723 40.748151)
Graduate Colleges,School of Public Health,http://sph.cuny.edu/,55 W 125th Street,New York,NY,10027-4516,40.80771,-73.9442,POINT (-73.9442 40.80771)
Graduate Colleges,School of Journalism,http://journalism.cuny.edu,219 West 40th Street,New York,NY,10018-1507,40.755343,-73.988846,POINT (-73.988846 40.755343)
Honors Colleges,Macaulay Honors College,https://macaulay.cuny.edu/,35 West 67th Street,New York,NY,10023-6203,40.77384,-73.9802,POINT (-73.9802 40.77384)
Senior Colleges,Baruch College,http://baruch.cuny.edu,55 Lexington Ave at 24th Street,New York,NY,10010-2313,40.740977,-73.984252,POINT (-73.984252 40.740977)
Senior Colleges,Brooklyn College,http://brooklyn.cuny.edu,2900 Bedford Avenue,Brooklyn,NY,11210-2850,40.630276,-73.955545,POINT (-73.955545 40.630276)
Senior Colleges,The City College of New York,http://ccny.cuny.edu,160 Convent Avenue,New York,NY,10031-9101,40.819548,-73.949518,POINT (-73.949518 40.819548)
Senior Colleges,School of Medicine,http://www.ccny.cuny.edu/csom,160 Convent Avenue,New York,NY,10031-9101,40.819548,-73.949518,POINT (-73.949518 40.819548)
Senior Colleges,Hunter College,http://hunter.cuny.edu,695 Park Avenue,New York,NY,10065-5024,40.768731,-73.964915,POINT (-73.964915 40.768731)
Senior Colleges,John Jay College of Criminal Justice,http://jjay.cuny.edu,524 West 59th Street,New York,NY,10019-1104,40.769939,-73.986469,POINT (-73.986469 40.769939)
Senior Colleges,Lehman College,https://www.lehman.cuny.edu/,250 Bedford Park Boulevard West,Bronx,NY,10468-1527,40.873442,-73.889361,POINT (-73.889361 40.873442)
Senior Colleges,Queens College,http://qc.cuny.edu,65-30 Kissena Blvd,Flushing,NY,11367-1597,40.736316,-73.820035,POINT (-73.820035 40.736316)
Senior Colleges,York College,http://york.cuny.edu,94-20 Guy R. Brewer Boulevard,Jamaica,NY,11451-0001,40.702821,-73.795776,POINT (-73.795776 40.702821)
